Mach,Deployment Level,CD
10.88,0,0.389569389
10.89,0,0.389541601
10.9,0,0.389513872
10.91,0,0.38948621
10.92,0,0.389458623
10.93,0,0.389431084
10.94,0,0.38940363
10.95,0,0.389376233
10.96,0,0.389348902
10.97,0,0.389321636
10.98,0,0.389294435
10.99,0,0.38926729
11,0,0.389240221
11.01,0,0.389213216
11.02,0,0.389186265
11.03,0,0.38915938
11.04,0,0.389132569
11.05,0,0.389105812
11.06,0,0.38907912
11.07,0,0.389052491
11.08,0,0.389025926
11.09,0,0.388999424
11.1,0,0.388972977
11.11,0,0.388946591
11.12,0,0.38892028
11.13,0,0.388894021
11.14,0,0.388867826
11.15,0,0.388841702
11.16,0,0.388815631
11.17,0,0.388789612
11.18,0,0.388763655
11.19,0,0.38873777
11.2,0,0.388711937
11.21,0,0.388686166
11.22,0,0.388660455
11.23,0,0.388634807
11.24,0,0.388609208
11.25,0,0.388583682
11.26,0,0.388558205
11.27,0,0.38853279
11.28,0,0.388507435
11.29,0,0.38848214
11.3,0,0.388456896
11.31,0,0.388431711
11.32,0,0.388406586
11.33,0,0.388381531
11.34,0,0.388356515
11.35,0,0.388331568
11.36,0,0.388306672
11.37,0,0.388281834
11.38,0,0.388257054
11.39,0,0.388232324
11.4,0,0.388207662
11.41,0,0.388183049
11.42,0,0.388158494
11.43,0,0.388133997
11.44,0,0.388109558
11.45,0,0.388085167
11.46,0,0.388060833
11.47,0,0.388036558
11.48,0,0.388012329
11.49,0,0.387988158
11.5,0,0.387964054
11.51,0,0.387939996
11.52,0,0.387915987
11.53,0,0.387892033
11.54,0,0.387868146
11.55,0,0.387844295
11.56,0,0.3878205
11.57,0,0.387796772
11.58,0,0.38777309
11.59,0,0.387749463
11.6,0,0.387725882
11.61,0,0.387702357
11.62,0,0.387678887
11.63,0,0.387655462
