Mach,CD Power-On
7.67,0.115328845
7.68,0.115225038
7.69,0.115121558
7.7,0.115018393
7.71,0.114915555
7.72,0.114813012
7.73,0.114710789
7.74,0.114608871
7.75,0.114507272
7.76,0.114405975
7.77,0.114304985
7.78,0.114204295
7.79,0.114103909
7.8,0.11400383
7.81,0.113904057
7.82,0.113804585
7.83,0.113705409
7.84,0.113606531
7.85,0.113507945
7.86,0.113409658
7.87,0.113311659
7.88,0.113213969
7.89,0.113116555
7.9,0.113019445
7.91,0.112922611
7.92,0.112826078
7.93,0.112729811
7.94,0.112633851
7.95,0.112538175
7.96,0.112442767
7.97,0.112347658
7.98,0.112252817
7.99,0.112158272
8,0.112063982
8.01,0.111969985
8.02,0.111876254
8.03,0.111782817
8.04,0.111689639
8.05,0.111596743
8.06,0.111504107
8.07,0.111411751
8.08,0.111319662
8.09,0.11122785
8.1,0.111136294
8.11,0.111045015
8.12,0.110953989
8.13,0.110863235
8.14,0.110772747
8.15,0.11068252
8.16,0.110592542
8.17,0.110502845
8.18,0.110413397
8.19,0.110324208
8.2,0.110235276
8.21,0.1101466
8.22,0.11005818
8.23,0.109970007
8.24,0.109882094
8.25,0.109794426
8.26,0.10970702
8.27,0.109619854
8.28,0.109532953
8.29,0.109446278
8.3,0.109359872
8.31,0.109273685
8.32,0.109187776
8.33,0.109102082
8.34,0.109016654
8.35,0.108931452
8.36,0.108846502
8.37,0.108761777
8.38,0.108677305
8.39,0.108593073
8.4,0.108509073
8.41,0.108425322
8.42,0.108341779
8.43,0.108258496
8.44,0.108175434
8.45,0.108092613
8.46,0.108010011
8.47,0.107927665
8.48,0.107845524
8.49,0.107763627
8.5,0.107681951
8.51,0.107600509
8.52,0.107519278
8.53,0.107438299
8.54,0.107357519
8.55,0.107276979
8.56,0.107196657
8.57,0.107116565
8.58,0.107036678
8.59,0.106957028
8.6,0.106877583
8.61,0.106798376
8.62,0.106719381
8.63,0.106640591
8.64,0.106562032
8.65,0.106483679
8.66,0.106405544
8.67,0.106327621
8.68,0.106249918
8.69,0.106172427
8.7,0.106095143
8.71,0.106018065
8.72,0.105941206
8.73,0.105864546
8.74,0.105788109
8.75,0.105711869
8.76,0.105635843
8.77,0.10556001
8.78,0.105484394
8.79,0.105408979
8.8,0.105333774
8.81,0.105258763
8.82,0.105183964
8.83,0.105109362
8.84,0.105034951
8.85,0.104960759
8.86,0.104886746
8.87,0.104812948
8.88,0.10473934
