Mach,CD Power-Off
6.93,0.129863457
6.94,0.129704631
6.95,0.12954624
6.96,0.129388268
6.97,0.129230735
6.98,0.129073627
6.99,0.128916936
7,0.128764776
7.01,0.128621556
7.02,0.128478813
7.03,0.128336559
7.04,0.128194777
7.05,0.128053473
7.06,0.127912645
7.07,0.12777229
7.08,0.127632401
7.09,0.127492982
7.1,0.127354023
7.11,0.12721554
7.12,0.127077513
7.13,0.12693994
7.14,0.12680283
7.15,0.126666169
7.16,0.126529957
7.17,0.126394211
7.18,0.126258903
7.19,0.126124046
7.2,0.125989632
7.21,0.125855657
7.22,0.125722121
7.23,0.125589032
7.24,0.125456377
7.25,0.125324156
7.26,0.125192366
7.27,0.125061006
7.28,0.124930075
7.29,0.124799571
7.3,0.124669502
7.31,0.124539846
7.32,0.124410612
7.33,0.124281799
7.34,0.124153395
7.35,0.124025417
7.36,0.123897854
7.37,0.123770687
7.38,0.123643942
7.39,0.123517619
7.4,0.123391683
7.41,0.123266157
7.42,0.123141037
7.43,0.123016311
7.44,0.122891988
7.45,0.12276806
7.46,0.122644529
7.47,0.122521388
7.48,0.122398644
7.49,0.122276299
7.5,0.122154325
7.51,0.122032756
7.52,0.121911559
7.53,0.12179075
7.54,0.121670323
7.55,0.12155027
7.56,0.121430606
7.57,0.121311315
7.58,0.121192398
7.59,0.121073862
7.6,0.120955688
7.61,0.120837892
7.62,0.120720464
7.63,0.120603403
7.64,0.120486706
7.65,0.120370382
7.66,0.120254412
7.67,0.120138803
7.68,0.120023543
7.69,0.119908653
7.7,0.119794118
7.71,0.11967995
7.72,0.119566117
7.73,0.119452645
7.74,0.119339517
7.75,0.119226747
7.76,0.119114319
7.77,0.119002239
7.78,0.118890496
7.79,0.118779097
7.8,0.118668043
7.81,0.118557334
7.82,0.118446964
7.83,0.118336928
7.84,0.118227229
7.85,0.11811786
7.86,0.118008827
7.87,0.117900119
7.88,0.117791758
7.89,0.117683709
7.9,0.117576003
7.91,0.117468608
7.92,0.117361551
7.93,0.117254797
7.94,0.117148387
7.95,0.117042296
7.96,0.116936509
7.97,0.116831057
7.98,0.116725908
7.99,0.116621091
8,0.116516564
8.01,0.116412367
8.02,0.116308469
8.03,0.116204901
8.04,0.116101625
8.05,0.115998667
8.06,0.115896002
8.07,0.115793653
8.08,0.115691603
8.09,0.115589865
8.1,0.115488418
8.11,0.11538728
8.12,0.115286428
8.13,0.115185883
8.14,0.115085635
8.15,0.114985682
8.16,0.114886012
8.17,0.114786655
8.18,0.114687579
8.19,0.114588795
8.2,0.114490299
8.21,0.114392092
8.22,0.114294173
8.23,0.114196532
8.24,0.114099184
8.25,0.114002112
8.26,0.113905333
8.27,0.113808826
8.28,0.113712614
8.29,0.11361666
8.3,0.113521006
8.31,0.113425601
8.32,0.113330505
8.33,0.113235654
8.34,0.1131411
8.35,0.113046802
8.36,0.112952786
8.37,0.112859024
8.38,0.112765545
8.39,0.112672337
8.4,0.112579389
8.41,0.11248672
8.42,0.112394289
8.43,0.112302146
8.44,0.112210253
8.45,0.112118631
8.46,0.112027256
8.47,0.111936166
8.48,0.111845309
8.49,0.111754724
8.5,0.111664389
8.51,0.111574316
8.52,0.111484482
8.53,0.111394928
8.54,0.1113056
8.55,0.11121654
8.56,0.111127727
8.57,0.111039169
8.58,0.110950845
8.59,0.110862785
8.6,0.110774957
8.61,0.110687394
8.62,0.110600069
8.63,0.110512976
8.64,0.110426141
8.65,0.110339538
8.66,0.110253181
8.67,0.110167061
8.68,0.110081187
8.69,0.109995551
8.7,0.109910147
8.71,0.109824977
8.72,0.109740051
8.73,0.109655349
8.74,0.109570895
8.75,0.109486664
8.76,0.109402673
8.77,0.1093189
8.78,0.109235369
8.79,0.109152063
8.8,0.109068993
8.81,0.108986141
8.82,0.108903526
8.83,0.108821132
8.84,0.108738955
8.85,0.108657019
8.86,0.108575288
8.87,0.108493796
8.88,0.108412517
8.89,0.108331457
8.9,0.108250618
8.91,0.108170007
8.92,0.108089605
8.93,0.108009428
8.94,0.107929461
8.95,0.107849718
8.96,0.107770181
8.97,0.107690867
8.98,0.10761176
8.99,0.107532874
9,0.107454191
9.01,0.10737572
9.02,0.107297459
9.03,0.10721942
9.04,0.10714157
9.05,0.107063948
9.06,0.106986536
9.07,0.106909312
9.08,0.106832305
9.09,0.106755493
9.1,0.106678897
